time,open,high,low,close
2021-02-23T11:30:00-03:00,123.76,126.71,118.39,125.86
2021-02-24T11:30:00-03:00,124.94,125.56,122.23,125.35
2021-02-25T11:30:00-03:00,124.68,126.4585,120.54,120.99
2021-02-26T11:30:00-03:00,122.59,124.85,121.2,121.26
2021-03-01T11:30:00-03:00,123.75,127.93,122.79,127.79
2021-03-02T11:30:00-03:00,128.41,128.72,125.01,125.12
2021-03-03T11:30:00-03:00,124.81,125.71,121.84,122.06
2021-03-04T11:30:00-03:00,121.75,123.6,118.62,120.13
2021-03-05T11:30:00-03:00,120.98,121.935,117.57,121.42
2021-03-08T11:30:00-03:00,120.93,121,116.21,116.36
2021-03-09T11:30:00-03:00,119.03,122.06,118.79,121.085
2021-03-10T11:30:00-03:00,121.69,122.17,119.45,119.98
2021-03-11T11:30:00-03:00,122.54,123.21,121.26,121.96
2021-03-12T11:30:00-03:00,120.4,121.17,119.16,121.03
2021-03-15T10:30:00-03:00,121.41,124,120.42,123.99
2021-03-16T10:30:00-03:00,125.7,127.22,124.715,125.57
2021-03-17T10:30:00-03:00,124.05,125.8599,122.336,124.76
2021-03-18T10:30:00-03:00,122.88,123.18,120.32,120.53
2021-03-19T10:30:00-03:00,119.9,121.43,119.675,119.99
2021-03-22T10:30:00-03:00,120.33,123.87,120.26,123.39
2021-03-23T10:30:00-03:00,123.33,124.24,122.14,122.54
2021-03-24T10:30:00-03:00,122.82,122.9,120.065,120.09
2021-03-25T10:30:00-03:00,119.54,121.66,119,120.59
2021-03-26T10:30:00-03:00,120.35,121.48,118.92,121.21
2021-03-29T10:30:00-03:00,121.65,122.58,120.7299,121.39
2021-03-30T10:30:00-03:00,120.11,120.4031,118.86,119.9
2021-03-31T10:30:00-03:00,121.65,123.52,121.15,122.15
2021-04-01T10:30:00-03:00,123.66,124.18,122.49,123
2021-04-05T10:30:00-03:00,123.87,126.1601,123.07,125.9
2021-04-06T10:30:00-03:00,126.5,127.13,125.65,126.21
2021-04-07T10:30:00-03:00,125.83,127.92,125.14,127.9
2021-04-08T10:30:00-03:00,128.95,130.39,128.52,130.36
2021-04-09T10:30:00-03:00,129.8,133.04,129.47,132.995
2021-04-12T10:30:00-03:00,132.52,132.85,130.63,131.24
2021-04-13T10:30:00-03:00,132.44,134.66,131.93,134.43
2021-04-14T10:30:00-03:00,134.94,135,131.655,132.03
2021-04-15T10:30:00-03:00,133.82,135,133.64,134.5
2021-04-16T10:30:00-03:00,134.3,134.67,133.28,134.16
2021-04-19T10:30:00-03:00,133.51,135.47,133.34,134.84
2021-04-20T10:30:00-03:00,135.02,135.53,131.81,133.11
2021-04-21T10:30:00-03:00,132.36,133.75,131.3001,133.5
2021-04-22T10:30:00-03:00,133.04,134.15,131.41,131.94
2021-04-23T10:30:00-03:00,132.16,135.12,132.16,134.32
2021-04-26T10:30:00-03:00,134.83,135.06,133.56,134.72
2021-04-27T10:30:00-03:00,135.01,135.41,134.11,134.39
2021-04-28T10:30:00-03:00,134.31,135.02,133.08,133.58
2021-04-29T10:30:00-03:00,136.47,137.07,132.45,133.48
2021-04-30T10:30:00-03:00,131.78,133.56,131.065,131.46
2021-05-03T10:30:00-03:00,132.04,134.07,131.83,132.54
2021-05-04T10:30:00-03:00,131.19,131.4899,126.7,127.85
2021-05-05T10:30:00-03:00,129.2,130.45,127.97,128.1
2021-05-06T10:30:00-03:00,127.89,129.75,127.13,129.74
2021-05-07T10:30:00-03:00,130.85,131.2582,129.475,130.21
2021-05-10T10:30:00-03:00,129.41,129.54,126.81,126.85
2021-05-11T10:30:00-03:00,123.5,126.27,122.77,125.91
2021-05-12T10:30:00-03:00,123.4,124.64,122.25,122.77
2021-05-13T10:30:00-03:00,124.58,126.15,124.26,124.97
2021-05-14T10:30:00-03:00,126.25,127.89,125.85,127.45
2021-05-17T10:30:00-03:00,126.82,126.93,125.17,126.27
2021-05-18T10:30:00-03:00,126.56,126.99,124.78,124.85
2021-05-19T10:30:00-03:00,123.16,124.915,122.86,124.69
2021-05-20T10:30:00-03:00,125.23,127.72,125.1,127.31
2021-05-21T10:30:00-03:00,127.82,128,125.21,125.43
