time,open,high,low,close
2021-07-04T21:00:00-03:00,1.4621,1.4623,1.3775,1.4038
2021-07-05T21:00:00-03:00,1.4038,1.4575,1.3901,1.4161
2021-07-06T21:00:00-03:00,1.4163,1.4412,1.4,1.4049
2021-07-07T21:00:00-03:00,1.4049,1.4073,1.3193,1.3276
2021-07-08T21:00:00-03:00,1.3276,1.3743,1.2872,1.351
2021-07-09T21:00:00-03:00,1.3509,1.3665,1.3178,1.3356
2021-07-10T21:00:00-03:00,1.3358,1.3673,1.3235,1.3486
2021-07-11T21:00:00-03:00,1.3491,1.3747,1.2916,1.3129
2021-07-12T21:00:00-03:00,1.3122,1.3202,1.25,1.2654
2021-07-13T21:00:00-03:00,1.2651,1.29,1.2,1.2633
2021-07-14T21:00:00-03:00,1.2636,1.29,1.2051,1.2249
2021-07-15T21:00:00-03:00,1.2249,1.2452,1.1661,1.1714
2021-07-16T21:00:00-03:00,1.1714,1.1954,1.1503,1.173
2021-07-17T21:00:00-03:00,1.1731,1.2193,1.1674,1.1815
2021-07-18T21:00:00-03:00,1.1816,1.1922,1.1159,1.1226
2021-07-19T21:00:00-03:00,1.1228,1.1365,1.025,1.0559
2021-07-20T21:00:00-03:00,1.0559,1.2261,1.038,1.1703
2021-07-21T21:00:00-03:00,1.1713,1.209,1.1503,1.1858
2021-07-22T21:00:00-03:00,1.1858,1.2086,1.1465,1.2079
2021-07-23T21:00:00-03:00,1.208,1.2499,1.1971,1.2345
2021-07-24T21:00:00-03:00,1.2341,1.24,1.1909,1.2295
2021-07-25T21:00:00-03:00,1.2296,1.4,1.2233,1.2554
2021-07-26T21:00:00-03:00,1.2556,1.317,1.214,1.2807
2021-07-27T21:00:00-03:00,1.2805,1.3183,1.258,1.288
2021-07-28T21:00:00-03:00,1.288,1.2986,1.2576,1.286
2021-07-29T21:00:00-03:00,1.2856,1.3183,1.2489,1.3115
2021-07-30T21:00:00-03:00,1.3119,1.3339,1.2886,1.3206
2021-07-31T21:00:00-03:00,1.3211,1.3893,1.3,1.3147
2021-08-01T21:00:00-03:00,1.3141,1.3504,1.2941,1.3078
2021-08-02T21:00:00-03:00,1.3082,1.3815,1.262,1.3692
2021-08-03T21:00:00-03:00,1.3689,1.3935,1.3229,1.3767
2021-08-04T21:00:00-03:00,1.3763,1.3987,1.3384,1.3867
2021-08-05T21:00:00-03:00,1.3867,1.4261,1.3622,1.4032
2021-08-06T21:00:00-03:00,1.403,1.4866,1.3959,1.4744
2021-08-07T21:00:00-03:00,1.4743,1.4952,1.4075,1.4268
2021-08-08T21:00:00-03:00,1.4265,1.5,1.3921,1.4752
2021-08-09T21:00:00-03:00,1.4752,1.701,1.4581,1.6788
2021-08-10T21:00:00-03:00,1.6788,1.898,1.6708,1.7948
2021-08-11T21:00:00-03:00,1.7946,1.8694,1.68,1.8349
2021-08-12T21:00:00-03:00,1.8351,2.15,1.8211,2.1398
2021-08-13T21:00:00-03:00,2.1398,2.25,2.0839,2.1906
2021-08-14T21:00:00-03:00,2.1906,2.2499,2.0327,2.1686
2021-08-15T21:00:00-03:00,2.1684,2.1968,2.0475,2.0725
2021-08-16T21:00:00-03:00,2.0717,2.1413,1.906,1.9223
2021-08-17T21:00:00-03:00,1.9233,2.165,1.8703,2.1046
2021-08-18T21:00:00-03:00,2.1047,2.4494,2.0473,2.4411
2021-08-19T21:00:00-03:00,2.441,2.5832,2.3713,2.4567
2021-08-20T21:00:00-03:00,2.457,2.5295,2.3828,2.4377
2021-08-21T21:00:00-03:00,2.4366,2.7238,2.4333,2.711
2021-08-22T21:00:00-03:00,2.71,2.97,2.689,2.9179
2021-08-23T21:00:00-03:00,2.9176,2.9496,2.59,2.7209
2021-08-24T21:00:00-03:00,2.7209,2.8,2.604,2.7402
2021-08-25T21:00:00-03:00,2.7406,2.785,2.4701,2.5301
2021-08-26T21:00:00-03:00,2.5313,2.9485,2.4968,2.9477
2021-08-27T21:00:00-03:00,2.9485,2.95,2.7757,2.8494
2021-08-28T21:00:00-03:00,2.8494,2.9371,2.7235,2.853
2021-08-29T21:00:00-03:00,2.8532,2.8867,2.7242,2.7368
2021-08-30T21:00:00-03:00,2.7367,2.88,2.7021,2.7698
2021-08-31T21:00:00-03:00,2.7697,2.9052,2.724,2.8707
2021-09-01T21:00:00-03:00,2.8706,3.0994,2.8371,2.9635
2021-09-02T21:00:00-03:00,2.9634,3.0333,2.9045,2.9677
2021-09-03T21:00:00-03:00,2.968,2.968,2.8033,2.833
2021-09-04T21:00:00-03:00,2.8334,2.9594,2.8255,2.9135
2021-09-05T21:00:00-03:00,2.9135,2.9303,2.8031,2.8349
2021-09-06T21:00:00-03:00,2.8346,2.8769,2.003,2.5238
2021-09-07T21:00:00-03:00,2.5242,2.58,2.2007,2.47
2021-09-08T21:00:00-03:00,2.4708,2.6229,2.3852,2.5182
2021-09-09T21:00:00-03:00,2.5182,2.5862,2.276,2.3826
2021-09-10T21:00:00-03:00,2.3829,2.8,2.3682,2.6364
2021-09-11T21:00:00-03:00,2.6384,2.79,2.5025,2.5806
2021-09-12T21:00:00-03:00,2.5812,2.5934,2.3111,2.4022
2021-09-13T21:00:00-03:00,2.4021,2.4394,2.3217,2.3987
2021-09-14T21:00:00-03:00,2.3985,2.5862,2.3583,2.5052
2021-09-15T21:00:00-03:00,2.5053,2.5249,2.3821,2.4169
2021-09-16T21:00:00-03:00,2.4169,2.4418,2.3142,2.3509
2021-09-17T21:00:00-03:00,2.3512,2.4395,2.3118,2.3706
2021-09-18T21:00:00-03:00,2.371,2.3969,2.2611,2.2833
2021-09-19T21:00:00-03:00,2.2835,2.2928,1.977,2.0812
2021-09-20T21:00:00-03:00,2.082,2.229,1.9111,1.987
2021-09-21T21:00:00-03:00,1.9873,2.2697,1.9682,2.2588
2021-09-22T21:00:00-03:00,2.2579,2.3478,2.1813,2.3281
2021-09-23T21:00:00-03:00,2.3291,2.3469,2.0636,2.2802
2021-09-24T21:00:00-03:00,2.2797,2.4604,2.238,2.3022
2021-09-25T21:00:00-03:00,2.3014,2.3034,2.15,2.2075
2021-09-26T21:00:00-03:00,2.2069,2.2772,2.1303,2.1303
2021-09-27T21:00:00-03:00,2.1304,2.1738,2.0291,2.0374
2021-09-28T21:00:00-03:00,2.0374,2.1442,2.02,2.066
2021-09-29T21:00:00-03:00,2.066,2.1369,2.0512,2.1155
2021-09-30T21:00:00-03:00,2.1157,2.275,2.093,2.2554
2021-10-01T21:00:00-03:00,2.256,2.3227,2.195,2.2489
2021-10-02T21:00:00-03:00,2.2485,2.3093,2.2224,2.2531
2021-10-03T21:00:00-03:00,2.2529,2.2545,2.1502,2.1915
2021-10-04T21:00:00-03:00,2.1922,2.2589,2.1778,2.2331
2021-10-05T21:00:00-03:00,2.2339,2.25,2.1137,2.2107
2021-10-06T21:00:00-03:00,2.2111,2.3749,2.151,2.2783
2021-10-07T21:00:00-03:00,2.2784,2.3129,2.2157,2.238
2021-10-08T21:00:00-03:00,2.2382,2.3,2.2199,2.2689
2021-10-09T21:00:00-03:00,2.2691,2.2776,2.1628,2.1897
2021-10-10T21:00:00-03:00,2.19,2.25,2.11,2.1715
2021-10-11T21:00:00-03:00,2.171,2.1731,2.0718,2.1176
2021-10-12T21:00:00-03:00,2.117,2.1993,2.081,2.1891
2021-10-13T21:00:00-03:00,2.1901,2.2245,2.1573,2.1743
2021-10-14T21:00:00-03:00,2.174,2.2427,2.1358,2.2172
2021-10-15T21:00:00-03:00,2.2174,2.25,2.1704,2.1784
2021-10-16T21:00:00-03:00,2.1783,2.19,2.0923,2.1589
2021-10-17T21:00:00-03:00,2.1589,2.1746,2.105,2.1283
2021-10-18T21:00:00-03:00,2.1271,2.1568,2.0925,2.1094
2021-10-19T21:00:00-03:00,2.1099,2.213,2.0918,2.1898
2021-10-20T21:00:00-03:00,2.1897,2.2985,2.009,2.1367
2021-10-21T21:00:00-03:00,2.1367,2.2096,2.1241,2.1555
2021-10-22T21:00:00-03:00,2.156,2.1736,2.1321,2.1661
2021-10-23T21:00:00-03:00,2.1661,2.1676,2.0936,2.1198
2021-10-24T21:00:00-03:00,2.1197,2.1777,2.1136,2.145
