time,open,high,low,close
2021-07-04T21:00:00-03:00,35255,35258.7,33143,33704.21
2021-07-05T21:00:00-03:00,33730.76,35100.49,33510.58,34244.09
2021-07-06T21:00:00-03:00,34231.95,35059.02,33800,33882.47
2021-07-07T21:00:00-03:00,33858.33,33943.02,32101,32898.79
2021-07-08T21:00:00-03:00,32892.94,34115.44,32285.73,33826.43
2021-07-09T21:00:00-03:00,33830.73,34261.04,33014.21,33517.6
2021-07-10T21:00:00-03:00,33521.48,34635.82,33335.49,34258.53
2021-07-11T21:00:00-03:00,34266.84,34677,32660,33105
2021-07-12T21:00:00-03:00,33091.53,33340,32190,32728
2021-07-13T21:00:00-03:00,32737.56,33111.72,31589.35,32823.55
2021-07-14T21:00:00-03:00,32818.68,33179,31121.57,31848.65
2021-07-15T21:00:00-03:00,31885.7,32264.53,31012.93,31388.17
2021-07-16T21:00:00-03:00,31376.3,31950,31176.66,31529.68
2021-07-17T21:00:00-03:00,31509.33,32440.98,31100,31776.65
2021-07-18T21:00:00-03:00,31794.49,31881.71,30400,30829.29
2021-07-19T21:00:00-03:00,30822.08,31068.62,29296.39,29786.58
2021-07-20T21:00:00-03:00,29792.99,32875.42,29500,32138.45
2021-07-21T21:00:00-03:00,32115.82,32609.83,31703.15,32300.88
2021-07-22T21:00:00-03:00,32306.98,33684.17,32000,33684.17
2021-07-23T21:00:00-03:00,33685,34534.32,33419.31,34301.78
2021-07-24T21:00:00-03:00,34301.86,35448.97,33874.03,35428.28
2021-07-25T21:00:00-03:00,35438.93,40581.3,35282.7,37291.24
2021-07-26T21:00:00-03:00,37271.44,39539.5,36386.19,39475.41
2021-07-27T21:00:00-03:00,39446.94,40927.53,38786.8,40036.32
2021-07-28T21:00:00-03:00,40024.8,40662.8,39239.95,40037.51
2021-07-29T21:00:00-03:00,40045.21,42335.5,38331.37,42234.89
2021-07-30T21:00:00-03:00,42236.72,42411.32,41007.51,41490.13
2021-07-31T21:00:00-03:00,41489.16,42614.85,39424.27,39839
2021-08-01T21:00:00-03:00,39875.2,40459.31,38687.62,39165.55
2021-08-02T21:00:00-03:00,39157.52,39792.83,37639,38177.07
2021-08-03T21:00:00-03:00,38173.75,39973.94,37481,39741.12
2021-08-04T21:00:00-03:00,39742.77,41401.96,37300,40894.67
2021-08-05T21:00:00-03:00,40893.77,43381,39879.47,42856.59
2021-08-06T21:00:00-03:00,42857.09,44763.14,42251,44612.94
